 
****************************************
Report : area
Design : DnCNN
Version: R-2020.09
Date   : Thu Jun 23 15:39:47 2022
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /theda21_2/library/GPDK045/cur/gsclib045/db/slow_vdd1v2_basicCells.db)

Number of ports:                         8735
Number of nets:                         50985
Number of cells:                        37215
Number of combinational cells:          33162
Number of sequential cells:              3938
Number of macros/black boxes:               0
Number of buf/inv:                       2873
Number of references:                     138

Combinational area:              84831.853592
Buf/Inv area:                     2819.790063
Noncombinational area:           23209.146518
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (No wire load specified)

Total cell area:                108041.000110
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area             Local cell area
                                  --------------------  ------------------------------ 
Hierarchical cell                 Absolute     Percent  Combi-      Noncombi-   Black-
                                  Total        Total    national    national    boxes   Design
pea/pe03/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_5_DW_mult_tc_0_DW_mult_tc_3
pea/pe10                            1827.9900      1.7    124.4880    514.3680  0.0000  PE_9
pea/pe10/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_9_DW01_add_0_DW01_add_36
pea/pe10/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_9_DW01_add_1_DW01_add_37
pea/pe10/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_9_DW_mult_tc_2_DW_mult_tc_33
pea/pe10/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_9_DW_mult_tc_1_DW_mult_tc_31
pea/pe10/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_9_DW_mult_tc_0_DW_mult_tc_10
pea/pe11                            1827.9900      1.7    124.4880    514.3680  0.0000  PE_7
pea/pe11/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_7_DW01_add_0_DW01_add_32
pea/pe11/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_7_DW01_add_1_DW01_add_33
pea/pe11/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_7_DW_mult_tc_2_DW_mult_tc_28
pea/pe11/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_7_DW_mult_tc_1_DW_mult_tc_25
pea/pe11/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_7_DW_mult_tc_0_DW_mult_tc_7
pea/pe12                            1827.9900      1.7    124.4880    514.3680  0.0000  PE_4
pea/pe12/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_4_DW01_add_0_DW01_add_26
pea/pe12/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_4_DW01_add_1_DW01_add_27
pea/pe12/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_4_DW_mult_tc_2_DW_mult_tc_22
pea/pe12/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_4_DW_mult_tc_1_DW_mult_tc_19
pea/pe12/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_4_DW_mult_tc_0_DW_mult_tc_4
pea/pe13                            1827.9900      1.7    124.4880    514.3680  0.0000  PE_2
pea/pe13/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_2_DW01_add_0_DW01_add_22
pea/pe13/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_2_DW01_add_1_DW01_add_23
pea/pe13/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_2_DW_mult_tc_2_DW_mult_tc_16
pea/pe13/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_2_DW_mult_tc_1_DW_mult_tc_14
pea/pe13/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_2_DW_mult_tc_0_DW_mult_tc_1
pea/pe20                            1827.9900      1.7    124.4880    514.3680  0.0000  PE_6
pea/pe20/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_6_DW01_add_0_DW01_add_30
pea/pe20/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_6_DW01_add_1_DW01_add_31
pea/pe20/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_6_DW_mult_tc_2_DW_mult_tc_29
pea/pe20/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_6_DW_mult_tc_1_DW_mult_tc_26
pea/pe20/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_6_DW_mult_tc_0_DW_mult_tc_8
pea/pe21                            1827.9900      1.7    124.4880    514.3680  0.0000  PE_3
pea/pe21/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_3_DW01_add_0_DW01_add_24
pea/pe21/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_3_DW01_add_1_DW01_add_25
pea/pe21/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_3_DW_mult_tc_2_DW_mult_tc_23
pea/pe21/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_3_DW_mult_tc_1_DW_mult_tc_20
pea/pe21/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_3_DW_mult_tc_0_DW_mult_tc_5
pea/pe22                            1827.9900      1.7    124.4880    514.3680  0.0000  PE_1
pea/pe22/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_1_DW01_add_0_DW01_add_20
pea/pe22/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_1_DW01_add_1_DW01_add_21
pea/pe22/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_1_DW_mult_tc_2_DW_mult_tc_17
pea/pe22/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_1_DW_mult_tc_1_DW_mult_tc_15
pea/pe22/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_1_DW_mult_tc_0_DW_mult_tc_2
pea/pe23                            1821.1500      1.7    117.6480    514.3680  0.0000  PE_0
pea/pe23/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_0_DW01_add_0_DW01_add_18
pea/pe23/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_0_DW01_add_1_DW01_add_19
pea/pe23/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_0_DW_mult_tc_2_DW_mult_tc_13
pea/pe23/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_0_DW_mult_tc_1_DW_mult_tc_12
pea/pe23/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_0_DW_mult_tc_0
--------------------------------  -----------  -------  ----------  ----------  ------  --------------------------------
Total                                                   84831.8536  23209.1465  0.0000

1
